Evaluator,problem,rationale,options,correct,category,llm_response,score_beforeRationale,comment_beforeRationale,rationale_provided,score_afterRationale,comment_afterRationale
Hrishita,"there are 13 clubs in a full deck of 52 cards . in a certain game , you pick a card from a standard deck of 52 cards . if the card is a club , you win . if the card is not a club , the person replaces the card to the deck , reshuffles , and draws again . the person keeps repeating that process until he picks a club , and the point is to measure how many draws it took before the person picked a club and , thereby , won . what is the probability that one will pick the first club on the forth draw or later ?","favorable case = the club is picked in the third draw or later unfavorable cases = the club is picked in either first draw , second draw or third draws probability = favorable outcomes / total out comes also probability = 1 - ( unfavorable outcomes / total out comes ) unfavorable case 1 : probability of club picked in first draw = 13 / 52 = 1 / 4 unfavorable case 2 : probability of club picked in second draw ( i . e . first draw is not club ) = ( 39 / 52 ) * ( 13 / 52 ) = ( 3 / 4 ) * ( 1 / 4 ) = 3 / 16 unfavorable case 3 : probability of club picked in third draw ( i . e . first and 2 nd draws are not clubs ) = ( 39 / 52 ) * ( 39 / 52 ) * ( 13 / 52 ) = ( 3 / 4 ) * ( 3 / 4 ) * ( 1 / 4 ) = 9 / 64 total unfavorable probability = ( 1 / 4 ) + ( 3 / 16 ) + ( 9 / 64 ) = ( 16 / 64 ) + ( 12 / 64 ) + ( 9 / 64 ) = 37 / 64 i . e . , favorable probability = 1 - ( 37 / 64 ) = 27 / 64 answer : option e","a ) 1 / 2 , b ) 3 / 4 , c ) 7 / 8 , d ) 27 / 32 , e ) 27 / 64",e,probability,The probability that one will pick the first club on the fourth draw or later is $\frac{13}{52 \cdot 51 \cdot 50 \cdot 49} = \frac{13}{624900} \approx 0.000021$.,0,,"your answer is wrong. avorable case = the club is picked in the third draw or later unfavorable cases = the club is picked in either first draw , second draw or third draws probability = favorable outcomes / total out comes also probability = 1 - ( unfavorable outcomes / total out comes ) unfavorable case 1 : probability of club picked in first draw = 13 / 52 = 1 / 4 unfavorable case 2 : probability of club picked in second draw ( i . e . first draw is not club ) = ( 39 / 52 ) * ( 13 / 52 ) = ( 3 / 4 ) * ( 1 / 4 ) = 3 / 16 unfavorable case 3 : probability of club picked in third draw ( i . e . first and 2 nd draws are not clubs ) = ( 39 / 52 ) * ( 39 / 52 ) * ( 13 / 52 ) = ( 3 / 4 ) * ( 3 / 4 ) * ( 1 / 4 ) = 9 / 64 total unfavorable probability = ( 1 / 4 ) + ( 3 / 16 ) + ( 9 / 64 ) = ( 16 / 64 ) + ( 12 / 64 ) + ( 9 / 64 ) = 37 / 64. the answer is:",1,
Hrishita,what is the probability that a two digit number selected at random is a multiple of 3 and not a multiple of 5 ?,"""explanation : since every third number starting from 10 will be divisible by 3 , so total number of numbers divisible by 3 are 90 / 3 = 30 numbers which are divisible by 3 and 5 both are numbers which are multiple of 15 . for the range 10 to 99 , 15 is the first number divisible by 15 and 90 is the last number . so total number of numbers divisible by 15 are : ( 90 - 15 ) / 15 + 1 = 5 + 1 = 6 number of numbers which are divisible by 3 are 30 and number of numbers which are divisible by 3 and 5 both are 6 . so number of numbers divisible by 3 and not by 5 are : 30 - 6 = 24 so total probability = 24 / 90 = 4 / 15 answer : c""","a ) 1 / 15 , b ) 2 / 15 , c ) 4 / 15 , d ) 7 / 15 , e ) none of these",c,probability,The probability that a two digit number selected at random is a multiple of 3 and not a multiple of 5 is $\frac{6}{90} = \frac{1}{15}$.,0,,"your answer is wrong. since every third number starting from 10 will be divisible by 3 , so total number of numbers divisible by 3 are 90 / 3 = 30 numbers which are divisible by 3 and 5 both are numbers which are multiple of 15 . for the range 10 to 99 , 15 is the first number divisible by 15 and 90 is the last number . so total number of numbers divisible by 15 are : ( 90 - 15 ) / 15 + 1 = 5 + 1 = 6 number of numbers which are divisible by 3 are 30 and number of numbers which are divisible by 3 and 5 both are 6 . so number of numbers divisible by 3 and not by 5 are : 30 - 6 = 24. so the answer is:",0,had the right fraction but then reduced to incorrectly
Hrishita,4 dice are thrown simultaneously on the board . find the probability which show the same face ?,"""the total number of elementary events associated to the random experiments of throwing four dice simultaneously is : = 6 × 6 × 6 × 6 = 6^4 = 6 × 6 × 6 × 6 = 6^4 let x be the event that all dice show the same face . x = { ( 1,1 , 1,1 , ) , ( 2,2 , 2,2 ) , ( 3,3 , 3,3 ) , ( 4,4 , 4,4 ) , ( 5,5 , 5,5 ) , ( 6,6 , 6,6 ) } n ( x ) = 6 hence required probability , = n ( x ) n ( s ) = 6/6^4 = n ( x ) n ( s ) = 6/6^4 = 1 / 216 c""","a ) 2 / 113 , b ) 3 / 117 , c ) 1 / 216 , d ) 3 / 111 , e ) 4 / 121",c,probability,The probability that all four dice show the same face is $\frac{1}{6^4} = \frac{1}{1296} \approx 0.00077$.,0,,"your answer is wrong. the total number of elementary events associated to the random experiments of throwing four dice simultaneously is : = 6 × 6 × 6 × 6 = 6^4 = 6 × 6 × 6 × 6 = 6^4 let x be the event that all dice show the same face . x = { ( 1,1 , 1,1 , ) , ( 2,2 , 2,2 ) , ( 3,3 , 3,3 ) , ( 4,4 , 4,4 ) , ( 5,5 , 5,5 ) , ( 6,6 , 6,6 ) } n ( x ) = 6 so the answer is:",0,got till 6/6^4 but then went back to 1/1296
Hrishita,three unbiased coins are tossed . what is the probability of getting at most 3 heads and 1 tail?,"""let , h - - > head , t - - > tail here s = { ttt , tth , tht , htt , thh , hth , hht , hhh } let e = event of getting at most 3 heads and at least 1 head then e = { hhh , hth , thh , hht } p ( e ) = n ( e ) / n ( s ) = 4 / 8 = 1 / 2 answer is d""","a ) 3 / 4 , b ) 1 / 4 , c ) 3 / 8 , d ) 1 / 2 , e ) 1 / 8",d,probability,,0,,,0,
Hrishita,"how many positive integers less than 400 can be formed using the numbers 1 , 2 , 3 and 5 for the digits ?","""notice that we can find the number of 2 and 3 digit numbers by just assuming the first digit can also be zero : 0 1 1 1 2 2 2 3 3 3 5 5 number of possibilities = 4 * 4 * 4 = 64 . then , just add up the number of 1 digits numbers = 4 , so total is 64 + 4 = 68 . answer : e""","a ) 48 , b ) 52 , c ) 66 , d ) 84 , e ) 68",e,probability,"There are $4^3 = 64$ positive integers less than 400 that can be formed using the numbers 1, 2, 3, and 5 for the digits.",0,,"your answer is wrong. notice that we can find the number of 2 and 3 digit numbers by just assuming the first digit can also be zero : 0 1 1 1 2 2 2 3 3 3 5 5 number of possibilities = 4 * 4 * 4 = 64 . then , just add up the number of 1 digits numbers = 4. so the answer is:",1,
Hrishita,in a throw of dice what is the probability of getting number greater than 4,"""explanation : number greater than 4 is 5 & 6 , so only 2 number total cases of dice = [ 1,2 , 3,4 , 5,6 ] so probability = 2 / 6 = 1 / 3 answer : b""","a ) 1 / 2 , b ) 1 / 3 , c ) 1 / 5 , d ) 1 / 6 , e ) none of these",b,probability,The probability of getting a number greater than 4 in a throw of a die is $\frac{2}{6} = \frac{1}{3}$.,1,,,1,
Hrishita,"from a pack of cards , two cards are drawn one after the other , with replacement . what is the probability that the first card is a club and the second card is a red king ?",p ( club ) = 1 / 4 p ( red king ) = 1 / 26 p ( club then a red king ) = 1 / 4 * 1 / 26 = 1 / 104 the answer is e .,"a ) 1 / 13 , b ) 1 / 15 , c ) 1 / 26 , d ) 1 / 52 , e ) 1 / 104",e,probability,The probability that the first card is a club and the second card is a red king is $\frac{13 \cdot 2}{52 \cdot 52} = \frac{26}{2704} \approx 0.0096$.,1,correct answer only the fraction was not in the reduced form,,1,
Hrishita,"in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is 1 / 8 and picking a straight flower is 1 / 2 , then what is the probability of picking a flower which is yellow and straight","""good question . so we have a garden where all the flowers have two properties : color ( green or yellow ) and shape ( straight or curved ) . we ' re told that 1 / 8 of the garden is green , so , since all the flowers must be either green or yellow , we know that 7 / 8 are yellow . we ' re also told there is an equal probability of straight or curved , 1 / 2 . we want to find out the probability of something being yellow and straight , pr ( yellow and straight ) . so if we recall , the probability of two unique events occurring simultaneously is the product of the two probabilities , pr ( a and b ) = p ( a ) * p ( b ) . so we multiply the two probabilities , pr ( yellow ) * pr ( straight ) = 7 / 8 * 1 / 2 = 4 / 9 , or e .""","a ) 1 / 7 , b ) 1 / 8 , c ) 1 / 4 , d ) 3 / 4 , e ) 4 / 9",e,probability,The probability of picking a flower which is yellow and straight is $\frac{1}{8} \cdot \frac{1}{2} = \frac{1}{16}$.,0,,"your answer is wrong. we have a garden where all the flowers have two properties : color ( green or yellow ) and shape ( straight or curved ) . we ' re told that 1 / 8 of the garden is green , so , since all the flowers must be either green or yellow , we know that 7 / 8 are yellow . we ' re also told there is an equal probability of straight or curved , 1 / 2 . we want to find out the probability of something being yellow and straight , pr ( yellow and straight ) . so if we recall , the probability of two unique events occurring simultaneously is the product of the two probabilities. so the answer is:",1,
Hrishita,"if two dice are thrown together , the probability of getting a doublet on the dice is","""the number of exhaustive outcomes is 36 . let e be the event of getting doublet on the dies is 6 / 36 = 1 / 6 p ( e ) = 1 / 6 . a )""","a ) 1 / 6 , b ) 1 / 5 , c ) 1 / 4 , d ) 1 / 3 , e ) 1 / 2",a,probability,The probability of getting a doublet on two dice is $\frac{1}{6^2} = \frac{1}{36}$.,0,,your answer is wrong. the number of exhaustive outcomes is 36 . let e be the event of getting doublet on the dies is 6. so the answer is:,1,
Hrishita,"in a single throw of a die , what is the probability of getting a number greater than 2 ?","""s = { 1,2 , 3,4 , 5,6 } e = { 3,4 , 5,6 } probability = 4 / 6 = 2 / 3 answer is e""","a ) 1 / 2 , b ) 2 / 5 , c ) 1 / 3 , d ) 2 / 7 , e ) 2 / 3",e,probability,The probability of getting a number greater than 2 in a single throw of a die is $\frac{4}{6} = \frac{2}{3}$.,1,,,1,
Hrishita,"what is the probability that the sum of two dice will yield a 6 , and then when both are thrown again , their sum will again yield a 6 ? assume that each die has 5 sides with faces numbered 1 to 5 .","solution - rolling dices is an independent event . the combinations to get 6 are ( 1,5 ) , ( 5,1 ) , ( 2,4 ) , ( 4,2 ) , ( 3,3 ) and total combinations of both dices is 25 . the probability of getting 6 in first attempt is 5 / 25 = 1 / 5 . probability of getting 6 again in second attempt = ( 1 / 5 ) * ( 1 / 5 ) = 1 / 25 . ans b","a ) 1 / 144 , b ) 1 / 25 , c ) 1 / 12 , d ) 1 / 6 , e ) 1 / 3",b,probability,"The probability that the sum of two dice will yield a 6, and then when both are thrown again, their sum will again yield a 6 is $\frac{1}{5^4} = \frac{1}{625}$.",0,"misunderstood the question, question wanted prob an event repeating after it had already happened once, model understood the question as probability of event happening twice","your answer is wrong. rolling dices is an independent event . the combinations to get 6 are ( 1,5 ) , ( 5,1 ) , ( 2,4 ) , ( 4,2 ) , ( 3,3 ) and total combinations of both dices is 25 . the probability of getting 6 in first attempt is 5 / 25 = 1 / 5 . probability of getting 6 again in second attempt = ( 1 / 5 ) * ( 1 / 5 ). so the answer is:",1,
Hrishita,"from a pack of cards , two cards are drawn one after the other , with replacement . what is the probability that the first card is a black card and the second card is a king or queen ?","""p ( black card ) = 1 / 2 p ( king or queen ) = 2 / 13 p ( black card then a king / queen ) = 1 / 2 * 2 / 13 = 1 / 13 the answer is b .""","a ) 1 / 52 , b ) 1 / 13 , c ) 1 / 26 , d ) 3 / 26 , e ) 17 / 26",b,probability,The probability that the first card is a black card and the second card is a king or queen is $\frac{26 \cdot 4}{52 \cdot 52} = \frac{104}{2704} \approx 0.0384$.,0,,your answer is wrong. p ( black card ) = 1 / 2 p ( king or queen ) = 2 / 13. so the answer is:,0,wrong final product
Hrishita,in a lottery there are 100 prizes and 300 blanks . a lottery is drawn at random . what is the probability of getting a prize ?,"""total draws = prizes + blanks = 100 + 300 = 400 probability of getting a prize = 100 / 400 = 1 / 4 correct option is e""","a ) 1 / 2 , b ) 5 / 400 , c ) 1 / 5 , d ) 1 / 3 , e ) 1 / 4",e,probability,The probability of getting a prize in a lottery with 100 prizes and 300 blanks is $\frac{100}{400} = \frac{1}{4}$.,1,,,1,
Hrishita,in how many ways 4 boys and 4 girls can be seated in a row so that they are alternate .,"""solution : let the arrangement be , b g b g b g b g 4 boys can be seated in 4 ! ways . girl can be seated in 4 ! ways . required number of ways , = 4 ! * 4 ! = 576 . answer : option d""","a ) 144 , b ) 288 , c ) 12 , d ) 576 , e ) none",d,probability,There are $4! \cdot 4! = 576$ ways for 4 boys and 4 girls to be seated in a row so that they are alternate.,1,,,1,
Hrishita,how many cubes of 5 cm edge can be cut out of a cube of 20 cm edge,"""explanation : number of cubes = ( 20 x 20 x 20 ) / ( 5 x 5 x 5 ) = 64 answer : b""","a ) 36 , b ) 64 , c ) 216 , d ) 484 , e ) none of these",b,probability,There are $8^3 = 512$ cubes of 5 cm edge that can be cut out of a cube of 20 cm edge.,0,,your answer is wrong. number of cubes = ( 20 x 20 x 20 ) / ( 5 x 5 x 5 ). so the answer is:,0,
Hrishita,"if two integers x , y ( x > y ) are selected from - 10 to 1 ( inclusive ) , how many possible cases are there ?","""if two integers x , y ( x > y ) are selected from - 10 to 9 ( inclusive ) , how many possible cases are there ? a . 150 b . 180 c . 190 d . 210 e . 240 - - > 12 c 2 = 12 * 11 / 2 = 66 . therefore , the answer is b .""","a ) 150 , b ) 66 , c ) 190 , d ) 210 , e ) 240",b,probability,,0,,,0,
Hrishita,"the set s consists of 5 numbers : { 1 , 2,3 , 4,5 } . if all possible subsets including the null set are created and one subset is chosen at random , what is the probability that the subset has 4 or 5 as its largest number ?","""the set s has 2 ^ 5 = 32 subsets . the number 5 is in half of these subsets . thus 5 is the largest number in 16 subsets of s . of the remaining 16 subsets , 4 is an element in 8 of them . thus 4 is the largest number in 8 subsets of s . the probability that 4 or 5 is the largest number is 24 / 32 = 3 / 4 . the answer is c .""","a ) 1 / 2 , b ) 2 / 3 , c ) 3 / 4 , d ) 5 / 8 , e ) 11 / 16",c,probability,"The probability that the subset has 4 or 5 as its largest number when one subset is chosen at random from all possible subsets including the null set of the set s = {1, 2, 3, 4, 5} is $\frac{3}{32} = \frac{1}{10}$.",0,,"your answer is wrong. the set s has 2 ^ 5 = 32 subsets . the number 5 is in half of these subsets . thus 5 is the largest number in 16 subsets of s . of the remaining 16 subsets , 4 is an element in 8 of them . thus 4 is the largest number in 8 subsets of s . so the answer is:",1,
Hrishita,"rhonda picked 2 pen from the table , if there were 7 pens on the table and 5 belongs to jill , what is the probability that the 2 pen she picked does not belong to jill ? .","since jill owns 5 of the pen , the subset from which the 2 pens hould be chosen are the 2 pens not owned by jill fom the universe of 7 . the first pen can be one of the 2 from the 7 with probability 2 / 7 . the second pen can be one of the 1 from the 6 remaining with probability 1 / 6 , the total probability will be 2 / 7 × 1 / 6 . on cancellation , this comes to 2 / 42 . thus , the answer is b - 2 / 42 .","a ) 5 / 42 , b ) 2 / 42 , c ) 7 / 42 , d ) 2 / 7 , e ) 5 / 7",b,probability,The probability that the two pens Rhonda picked do not belong to Jill is $\frac{2 \cdot 5}{7 \cdot 6} = \frac{5}{21}$.,0,,"your answer is wrong. since jill owns 5 of the pen , the subset from which the 2 pens hould be chosen are the 2 pens not owned by jill fom the universe of 7 . the first pen can be one of the 2 from the 7 with probability 2 / 7 . the second pen can be one of the 1 from the 6 remaining with probability 1 / 6 , the total probability will be 2 / 7 × 1 / 6 . so the answer is:",1,
Hrishita,"how many different ways can 2 students be seated in a row of 4 desks , so that there is always at least one empty desk between the students ?","""total cases : 12 ( student one has 4 options and student two has three options , 4 x 3 = 12 ) non - favourable cases : 6 ( when two students sit together . students in desk 1 and desk 2 , in desk 2 and desk 3 , in desk 3 and desk 4 ) for each of these cases there are two possibilities because the positions can be interchanged . hence 2 x 3 = 6 . so favourable cases : 12 - 6 = 6 . answer : d""","a ) 2 , b ) 3 , c ) 4 , d ) 6 , e ) 12",d,probability,There are $2 \cdot 3 = 6$ different ways for two students to be seated in a row of four desks so that there is always at least one empty desk between the students.,1,,,1,
Hrishita,"the membership of a committee consists of 3 english teachers , 4 mathematics teachers , and 2 social studies teachers . if 2 committee members are to be selected at random to write the committee ’ s report , what is the probability that the two members selected will both be social teachers ?","""probability of first member an english teacher = 3 / 9 probability of second member an english teacher = 2 / 8 probability of both being english teacher = 3 / 9 x 2 / 8 = 1 / 12 ( b )""","a ) 2 / 3 , b ) 1 / 12 , c ) 2 / 9 , d ) 1 / 2 , e ) 1 / 24",b,probability,The probability that the two members selected will both be social studies teachers is $\frac{2 \cdot 1}{9 \cdot 8} = \frac{1}{36}$.,0,,your answer is wrong. robability of first member an english teacher = 3 / 9 probability of second member an english teacher = 2 / 8. so the answer is:,0,substituted the wrong values
Hrishita,what is the probability of drawing a queen from a deck of 52 cards ?,"""total number of cards , n ( s ) = 52 total number of queen cards , n ( e ) = 4 p ( e ) = n ( e ) / n ( s ) = 4 / 52 = 1 / 13 option b is answer""","a ) 4 / 13 , b ) 1 / 13 , c ) 4 , d ) 1 , e ) 2 / 13",b,probability,The probability of drawing a queen from a deck of 52 cards is $\frac{4}{52} = \frac{1}{13}$.,1,,,1,
Hrishita,"from a pack of 52 cards , 1 card is drawn at random . what is the probability that a red king is drawn ?","""the total number of cards is 52 . the number of red kings is 2 . p ( red king ) = 2 / 52 = 1 / 26 the answer is d .""","a ) 1 / 2 , b ) 1 / 4 , c ) 1 / 13 , d ) 1 / 26 , e ) 1 / 52",d,probability,The probability that a red king is drawn from a pack of 52 cards is $\frac{2}{52} = \frac{1}{26}$,1,,,1,
Hrishita,"if a coin is flipped , the probability that the coin will land heads is 1 / 2 . if the coin is flipped 5 times , what is the probability that it will land tails up on the first 4 flips and not on the last flip ?",( 1 / 2 ) * ( 1 / 2 ) * ( 1 / 2 ) * ( 1 / 2 ) * ( 1 / 2 ) = 1 / 32 answer : b,"a ) 1 / 8 , b ) 1 / 32 , c ) 1 / 4 , d ) 1 / 2 , e ) 1 / 16",b,probability,The probability that a coin will land tails up on the first four flips and not on the last flip when it is flipped five times is $\frac{1}{2^5} = \frac{1}{32}$.,1,,,1,
Hrishita,"denise is trying to open a safe whose combination she does not know . if the safe has 4000 possible combinations , and she can try 75 different possibilities , what is the probability that she does not pick the one correct combination .","when trying the first time the probability denise does n ' t pick the correct combination = 3999 / 4000 second time , as the total number of possible combinations reduced by one , not picking the right one would be 3998 / 3999 . third time 3997 / 3998 . . . and the same 75 times . so we get : 3999 / 4000 ∗ 3998 / 3999 ∗ . . . ∗ 3925 / 39263999 / 4000 ∗ 3998 / 3999 ∗ . . . ∗ 3925 / 3926 every denominator but the first will cancel out and every nominator but the last will cancel out as well . we ' ll get 3925 / 4000 = 157 / 160 . answer : c .","a ) 1 , b ) 159 / 160 , c ) 157 / 160 , d ) 4 3 / 160 , e ) 0",c,probability,"The probability that she does not pick the one correct combination is 0.98. This is calculated by taking 1 minus the probability of her picking the correct combination, which is (75/4000) = 0.01875.",0,,"your answer is wrong. when trying the first time the probability denise does n ' t pick the correct combination = 3999 / 4000 second time , as the total number of possible combinations reduced by one , not picking the right one would be 3998 / 3999 . third time 3997 / 3998 . . . and the same 75 times . so we get : 3999 / 4000 ∗ 3998 / 3999 ∗ . . . ∗ 3925 / 39263999 / 4000 ∗ 3998 / 3999 ∗ . . . ∗ 3925 / 3926 every denominator but the first will cancel out and every nominator but the last will cancel out as well . so the answer is:",1,right answer only did not reduce the fraction
Hrishita,"if a certain coin is flipped , the probability that the coin will land heads is 1 / 2 . if the coin is flipped 5 times , what is the probability that it will land heads up on the first 3 flips and not on the last 2 flips ?","""on the first three flips , you must get heads . whats the probability of getting heads ? its 1 / 2 so for the first three flips , your probability is ( 1 / 2 ) ^ 3 = 1 / 8 now for the last two , you want to get tails only . whats the prob of getting tails ? well , its the same as prob of getting a heads , namely , 1 / 2 for the last two flips , your probability is ( 1 / 2 ) ^ 2 = 1 / 4 so your overall probability for the event in question is 1 / 8 * 1 / 4 = 1 / 32 answer : e""","a ) 3 / 5 , b ) 1 / 2 , c ) 1 / 5 , d ) 1 / 8 , e ) 1 / 32",e,probability,The probability that the coin will land heads up on the first 3 flips and not on the last 2 flips is (1/2)^3 * (1/2)^2 = 1/32.,1,,,1,
Hrishita,"a basket contains 10 apples , of which 1 is spoiled and the rest are good . if we select 2 apples from the basket simultaneously and at random , what is the probability that the 2 apples selected will include the spoiled apple ?","""the total number of ways to choose 2 apples is 10 c 2 = 45 the number of ways that include the spoiled apple is 9 c 1 = 9 p ( the spoiled apple is included ) = 9 / 45 = 1 / 5 the answer is e .""","a ) 2 / 9 , b ) 3 / 8 , c ) 2 / 7 , d ) 1 / 6 , e ) 1 / 5",e,probability,The probability that the 2 apples selected will include the spoiled apple is 1/5. This is calculated by taking the probability of selecting the spoiled apple (1/10) and multiplying it by the probability of selecting a second apple (9/10).,1,right answer but wrong substitution,,1,
Hrishita,"what is the probability that when a hand o f 6 cards is drawn from a well shuffled deck of 52 cards , it contains 2 queen ?",ncr = n ! / ( n - r ) ! r ! total number of possible hands = 52 c 6 52 c 6 = ( 52 ! ) / ( ( 52 - 6 ) ! × 6 ! ) 52 c 6 = 61075560 . number of hands with 2 queen and 4 non - queen cards = 4 c 2 × 48 c 4 4 c 2 = ( 4 ! ) / ( 2 ! × 2 ! ) = 6 . 48 c 4 = ( 48 ! ) / ( 44 ! × 4 ! ) = 3 × 47 × 46 × 45 = 291870 ( other 2 cards must be chosen from the rest 48 cards ) p ( 2 queen ) = ( 4 c 2 × 48 c 4 ) / 52 c 6 = 29187 / 1017926 c,"a ) 1 / 23445 , b ) 113 / 22434 , c ) 29187 by 1017926 , d ) 1017926 / 29187 , e ) none of these",c,probability,The probability that a hand of 6 cards drawn from a well shuffled deck of 52 cards contains 2 queens is 4/1771. This is calculated by taking the probability of drawing a queen (4/52) and multiplying it by the probability of drawing a second queen (3/51).,0,,your answer is wrong. ncr = n ! / ( n - r ) ! r ! total number of possible hands = 52 c 6 52 c 6 = ( 52 ! ) / ( ( 52 - 6 ) ! × 6 ! ) 52 c 6 = 61075560 . number of hands with 2 queen and 4 non - queen cards = 4 c 2 × 48 c 4 4 c 2 = ( 4 ! ) / ( 2 ! × 2 ! ) = 6 . 48 c 4 = ( 48 ! ) / ( 44 ! × 4 ! ) = 3 × 47 × 46 × 45 = 291870 ( other 2 cards must be chosen from the rest 48 cards ). so the answer is:,1,
Hrishita,"a certain junior class has 1,000 students and a certain senior class has 800 students . among these students , there are 20 siblings pairs , each consisting of 1 junior and 1 senior . if 1 student is to be selected at random from each class , what is the probability that the 2 students selected at will be a sibling pair ?","""total number of ways of choosing one student from each group is = 800 * 1000 number of cases in which a sibling pair will be got is = 60 thus the probability that the 2 students selected will be a sibling pair is = 20 / ( 800 * 1000 ) = 1 / 40,000 d""","a ) 3 / 40,000 , b ) 1 / 3,600 , c ) 9 / 2,000 , d ) 1 / 40,000 , e ) 1 / 15",d,probability,The probability that the 2 students selected at random will be a sibling pair is 1/5000. This is calculated by taking the probability of selecting a junior sibling (20/1000) and multiplying it by the probability of selecting a senior sibling (20/800).,0,,your answer is wrong. total number of ways of choosing one student from each group is = 800 * 1000 number of cases in which a sibling pair will be got is = 60 . so the answer is:,0,wrong substitutions of values
Manali,"john bought a shirt on sale for 25 % off the original price and another 25 % off the discounted price . if the final price was $ 16 , what was the price before the first discount ?","""let x be the price before the first discount . the price after the first discount is x - 25 % x ( price after first discount ) a second discount of 25 % of the discounted price after which the final price is 16 ( x - 25 % x ) - 25 % ( x - 25 % x ) = 16 solve for x x = $ 28.44 correct answer b""","a ) $ 18.44 , b ) $ 28.44 , c ) $ 48.44 , d ) $ 58.44 , e ) $ 38.44",b,gain,the price before the first discount was approximately $28.44.,1,,,1,
Manali,"a is a working partner and b is a sleeping partner in a business . a puts in 20,000 and b 90,000 . a gets 20 % of the profit for managing the business , and the rest is divided in proportion to their capitals . find the share of b in profit of 11000 .","""the amount a gets for managing = 20 % of rs . 11000 = 2200 remaining profit = 11000 â€“ 2200 = 8800 this is to be divided in the ratio 2 : 9 . share of b = 9 / 11 of 8800 = 7200 answer b""","a ) 3500 , b ) 7200 , c ) 6800 , d ) 4800 , e ) none of these",b,gain,"B's share in the profit of $11,000 is $6,800.",0,,"That is incorrect. ""the amount a gets for managing = 20 % of rs . 11000 = 2200 remaining profit = 11000 â€“ 2200 = 8800 this is to be divided in the ratio 2 : 9 . share of b = 9 / 11 of 8800. Can you calculate again?",1,
Manali,"on a sum of money , the simple interest for 2 years is rs . 324 , while the compound interest is rs . 340 , the rate of interest being the same in both the cases . the rate of interest is","""the difference between compound interest and simple interest on rs . p for 2 years at r % per annum = ( r Ã£ â€” si ) / ( 2 Ã£ â€” 100 ) difference between the compound interest and simple interest = 340 - 324 = 16 ( r Ã£ â€” si ) / ( 2 Ã£ â€” 100 ) = 16 ( r Ã£ â€” 324 ) / ( 2 Ã£ â€” 100 ) = 16 r = 9.87 % answer : option c""","a ) 15 % , b ) 14.25 % , c ) 9.87 % , d ) 10.5 % , e ) 11.5 %",c,gain,the rate of interest is approximately 9.87%.,1,,,1,
Manali,"concentrated apples juice comes inside a cylinder tube with a radius of 2.5 inches and a height of 15 inches . the tubes are packed into wooden boxes , each with dimensions of 11 inches by 10 inches by 31 inches . how many tubes of concentrated apples juice , at the most , can fit into 3 wooden boxes ?","concentrated apples juice comes inside a cylinder tube since height of a tube is 15 inches , the tubes can fit only in one way now , diameter of each tube = 5 inches therefore , 4 * 2 can be put in each wooden box in 3 boxes 3 * 4 * 2 can be accommodated = 24 = a","a ) 24 . , b ) 28 . , c ) 36 . , d ) 42 . , e ) 48 .",a,gain,"at most, 34 tubes of concentrated apple juice can fit into three wooden boxes.",0,,"That is incorrect. concentrated apples juice comes inside a cylinder tube since height of a tube is 15 inches , the tubes can fit only in one way now. Can you calculate again?",0,"Doesnt understand that this might be a corner case, and can't be solved like other problems."
Manali,there are 400 employees in a room . 99 % are managers . how many managers must leave the room to bring down the percentage of managers to 98 % ?,"""there are 396 managers and 4 others . the 4 others would compose 2 % of the total number of people if there were 200 people in the room . thus 200 managers must leave . the answer is d .""","a ) 50 , b ) 100 , c ) 150 , d ) 200 , e ) 250",d,gain,200 managers must leave the room to bring down the percentage of managers to 98%.,1,,,1,
Manali,after decreasing 90 % in the price of an article costs rs . 320 . find the actual cost of an article ?,"""cp * ( 10 / 100 ) = 320 cp = 32 * 100 = > cp = 3200 answer : c""","a ) 2777 , b ) 2987 , c ) 3200 , d ) 9977 , e ) 1671",c,gain,"The actual cost of the article is Rs. 3200.  90% of 3200 is 2880.  Therefore, the actual cost of the article is 3200 - 2880 = Rs. 3200.",1,,,1,
Manali,"a couple who own an appliance store discover that if they advertise a sales discount of 10 % on every item in the store , at the end of one month the number of total items sold increases 10 % . their gross income from sales for one month decreases by what percent ?","""let p be the original price and let x be the number of items sold originally . the original income is p * x . after the changes , the income is 0.9 p * 1.1 x = 0.99 * ( p * x ) , a decrease of 1 % . the answer is a .""","a ) 1 % , b ) 3 % , c ) 5 % , d ) 7 % , e ) 9 %",a,gain,"The gross income from sales for one month decreases by 1%.  The 10% discount on every item in the store increases the number of total items sold by 10%.  However, the 10% discount also decreases the gross income from sales by 10%.  Therefore, the gross income from sales for one month decreases by 10% - 10% = 1%.",1,Wrong calculation but correct answer?,,1,
